"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4"
"currentlegalstatusCredit Union/ Cooperative",0.00173306860835902,0.0148298682548999,0.116863385336306,0.906979568714812,0.0190503748278944,0.0209099762140769,0.911066307912362,0.362365753515882,0.0188481591648082,0.0211419891803922,0.891503585778423,0.372761935754985,0.0190639736571948,0.0209658605595238,0.90928648519199,0.363304017057579,0.0188527232302426,0.0211784150727452,0.890185746453917,0.37346885797003
"ageYoung",0.00632457149835708,0.0022123251373824,2.85878933050512,0.00429486248948938,-0.00175460176420686,0.00327978734225076,-0.53497424714212,0.592724712487161,-0.00164515421611981,0.00328464330670116,-0.50086236540919,0.616520858843747,-0.00176808353133796,0.00328543127612599,-0.538158732518916,0.590524908536278,-0.00165789970850205,0.00328880454937075,-0.50410405471473,0.614241520022187
"ageMature",0.00628266308485002,0.00283557313989129,2.21565897788512,0.0268225195818848,0.00203842057172505,0.00447486175824069,0.455527049069436,0.648777546056621,0.00237337732835477,0.00447513522677562,0.530347622604651,0.595927410057447,0.00201991388771165,0.00448229046401848,0.450643237854949,0.652293555294903,0.0023580323656335,0.00448020914692964,0.52632193906606,0.598720522550148
"operating_expense_._assets",-0.126817876511647,0.010210419587594,-12.4204373212766,3.18505080647888e-34,0.00207519025234302,0.0164237177550998,0.126353258335716,0.899464482747902,-0.000568449033012375,0.0164258598939179,-0.0346069573637881,0.972396466266597,0.00217786200218652,0.0164526510763752,0.132371493935939,0.894703233438541,-0.000506389537044492,0.0164465713010281,-0.0307899760853398,0.975439981439937
"donations_assets_ratio",-0.570961580055252,0.173888274512833,-3.28349672601481,0.00104223303256887,0.262798235159045,0.258601744007575,1.01622762123115,0.309638912541698,0.248520939808087,0.25872130352513,0.960573931956663,0.336877820216881,0.266208477315597,0.259015791762566,1.02776929354031,0.304177578504577,0.252197955539173,0.259039319535437,0.973589476653455,0.330373349208024
"debt_to_equity_ratio",3.39134034909423e-05,0.000279574366411475,0.121303694348819,0.903462182774296,0.000154373943746304,0.000420247496671643,0.367340543296379,0.713402296313203,0.000245768337346501,0.000421014559930946,0.583752584202342,0.55944992629229,0.000158707015495766,0.000420923105943348,0.377045149707526,0.706178422508589,0.000249017741305431,0.000421545856985958,0.590725154045876,0.554768615773724
"capital_.asset_ratio",0.0181966585487528,0.00438118502901905,4.15336454138004,3.40830368219063e-05,0.0135106374604136,0.0064786449836036,2.08541099174393,0.0371533539702102,0.0148151088268606,0.00647622596769413,2.28761456143809,0.0222596981336195,0.0135032609904997,0.00648922908474594,2.08087290711333,0.0375673378190997,0.014795865795259,0.00648404332656806,2.28188879223457,0.0225962637620963
"asset_structure",-0.116531286123693,0.0192679293760804,-6.04794027677711,1.73403392560622e-09,0.020758247608508,0.0309237012082866,0.671273062324941,0.502120951466732,0.021635251481438,0.0309145897885996,0.699839513620733,0.48410560799864,0.0208233773780175,0.0309830909947091,0.672088442743607,0.50160185890683,0.0217000946395804,0.030957523888671,0.700963511087579,0.483404006499678
"kkm",-0.00053637755772727,0.00101087695705173,-0.530606177127272,0.595748222246852,0.000370955968518644,0.00164412377563986,0.225625329439856,0.821514951597254,0.000355970811003718,0.00164402872974704,0.216523473442274,0.82860091206931,0.00036832194950809,0.00164706073322286,0.22362378149067,0.823071965077491,0.000363009298974727,0.00164609605570722,0.220527409513029,0.825482019043148
"education",-0.0402630928668151,0.0138896236959331,-2.89878932275207,0.00378521365717114,0.0276223786406505,0.0218528413797388,1.26401771562123,0.206364962011374,0.0278805358176268,0.0218591642585433,1.27546211226855,0.202287814402615,0.0275837398721391,0.0218890634934287,1.26016080498008,0.207752378261148,0.0279710904304779,0.0218846320033649,1.27811563960395,0.201350923524455
"year2002",0.00240109960005222,0.00262566185816061,0.914474037313508,0.360573554035759,-0.00227415008798364,0.0031447744286127,-0.723152054179882,0.469667584826252,-0.00235445877785927,0.00314045811612564,-0.749718254725189,0.45350899307455,-0.00228203376846691,0.00314618896074251,-0.725332711080502,0.468329340554049,-0.00234850235070291,0.00314169168149024,-0.747527952707603,0.454829232491117
"year2003",0.00376489557633804,0.00310632549000612,1.21200936233203,0.225646124201159,-0.00251814729916348,0.00358746017228114,-0.701930384794287,0.482800924157457,-0.00257977511470874,0.00360953953046758,-0.714710309426796,0.474868077644996,-0.00251318516256014,0.00359001843680486,-0.700047982148219,0.483975439793254,-0.00255969311588536,0.0036131989824897,-0.708428494608283,0.478758394762104
"year2004",0.00478891476428973,0.00330462221703575,1.44915649952429,0.147444262958006,-0.00563790043359732,0.00371056522666473,-1.51941822584938,0.128808874052525,-0.00580815315747008,0.00367433512504001,-1.58073582289444,0.11409013135369,-0.0056357834063859,0.00371457707430778,-1.51720728730232,0.129365954020848,-0.00579481224752438,0.003679572024385,-1.57486039385054,0.115440384915293
"year2005",0.0036373133585897,0.00344878134984796,1.05466626892715,0.291700180109966,-0.00317392941142379,0.00403207565709004,-0.787170103279864,0.431271763298211,-0.00326364172647907,0.00403520038150129,-0.808792976289528,0.41872651427883,-0.00315768580685656,0.00403662013138172,-0.782259837210815,0.434150712897216,-0.00324587064979881,0.0040403001071436,-0.803373651392835,0.42185037369021
"year2006",0.000745194149682068,0.00360978613659551,0.206437201951493,0.836469569711567,-0.00436523341901585,0.00416984630163329,-1.04685715089931,0.2952868076874,-0.00418187176562835,0.00420214624753548,-0.995175207926421,0.319766535479524,-0.00434888972910811,0.00417354774085273,-1.04201269498826,0.297526599057201,-0.00417516871556539,0.00420658519472851,-0.992531595650912,0.321053444003366
"year2007",-0.000367182301415432,0.00360950724544761,-0.101726434232409,0.918983601004534,-0.00688654404864603,0.00434467184393294,-1.58505505042059,0.113105473302583,-0.00650529782090296,0.0043363501792252,-1.50017815721361,0.133719662142831,-0.0068729577084888,0.00434855414299146,-1.58051561104877,0.11414051360688,-0.00648138492829511,0.00434078261738342,-1.49313741313359,0.135552521454854
"year2008",0.000347568953012563,0.00376628154553021,0.0922843788524134,0.92648096490498,-0.011228692261837,0.00443718988960414,-2.53058637137541,0.0114602202989785,-0.0112321863533202,0.00444009184823195,-2.52971937006052,0.0114884864104818,-0.0112095718381544,0.00443973970540562,-2.52482635964134,0.0116491729079298,-0.0112241621079484,0.00444294251717281,-2.52629019271909,0.011600892703139
"year2009",-0.00252648033937137,0.00384213780310196,-0.657571505460219,0.510886094773562,-0.0109460805420504,0.0045902232409746,-2.38465102183709,0.0171842418584142,-0.0107173875984901,0.00460004269515941,-2.32984524464695,0.019909349267802,-0.0109206568776301,0.00459338919432285,-2.37747258410574,0.0175214490196492,-0.0106994242107,0.0046037353903041,-2.32407454026006,0.0202171601991212
"year2010",-0.00179507434742415,0.00388586240580324,-0.461950053801015,0.644165333272518,-0.00941978957002147,0.00484668852124308,-1.94355167012166,0.0520839336992869,-0.00969235813352793,0.00484931716830259,-1.99870575529308,0.0457698211480893,-0.00937469390255483,0.00485056189165496,-1.93270266660927,0.0534081182612146,-0.00965528170512781,0.00485351757076525,-1.98933692200592,0.0467944887324725
"year2011",0.000191897384965021,0.00401446736658264,0.0478014559446714,0.96187905429602,-0.0118477962189701,0.00514274720297935,-2.30378740220913,0.0213325023170145,-0.0121376910233386,0.00514437613637472,-2.35940971297097,0.018395755563845,-0.0117962793045368,0.00514686230554211,-2.29193605817561,0.0220085737151543,-0.0121010726027004,0.00514880181438035,-2.35026964310467,0.0188525554244069
"year2012",0.000273654079922633,0.00411403342652705,0.0665172232578684,0.946972423224346,-0.00960478308644585,0.00520463032046211,-1.84543041389212,0.0651166596901767,-0.00990840676857225,0.0052041218355177,-1.90395365092112,0.0570537624833176,-0.00955528355556155,0.00520887188717402,-1.83442475885995,0.0667333883122016,-0.00987103910867317,0.00520820898339957,-1.89528475914383,0.0581928827100842
"year2013",0.00269121712941857,0.00431597472653676,0.623547935272103,0.532992718102956,-0.0138137511590843,0.00551703573970669,-2.50383572099512,0.0123613710978124,-0.0141441382965088,0.00551545683998813,-2.5644545332965,0.0104032772196536,-0.0137629127050395,0.00552226352082565,-2.49225931597372,0.0127704414072751,-0.014112533055216,0.00551993927913573,-2.55664643061538,0.010638935870173
"year2014",0.00390716387237267,0.00433100147784055,0.902138660622391,0.367087415896488,-0.0145151827733966,0.00592517416229413,-2.44974786830173,0.0143773544197744,-0.0147100276745045,0.00592694015224893,-2.48189239247217,0.0131469013856766,-0.0144602639617226,0.005930638996961,-2.4382303440038,0.0148423552328043,-0.0146770129469637,0.00593142690584183,-2.47444892771222,0.0134232243166739
"year2015",0.00590931097315692,0.00438891472177211,1.34641736004634,0.178314305315369,-0.0179118098211808,0.00621364105931079,-2.88265924120946,0.00398371903028204,-0.0181317426380139,0.00621582625478336,-2.91702854854747,0.00357161886775639,-0.0178609887258061,0.00621935491693183,-2.87183943742793,0.00412212485314769,-0.0181021479522292,0.00622069035232429,-2.90999019834921,0.00365270805229498
"year2016",0.00738643204039367,0.00439393116449315,1.68105319903111,0.0929023557605626,-0.0216933997839076,0.00649499301438238,-3.34001895550467,0.000852489702494965,-0.0219240195304874,0.00649650399079479,-3.3747411779555,0.000752384777292514,-0.0216823944625097,0.00650453950868933,-3.33342497705556,0.000872844366116381,-0.0219124153788829,0.00650326275067329,-3.36944949312009,0.000766900135218643
"year2017",0.00300529720011012,0.00447644334690066,0.671358256369062,0.502066701401218,-0.0187783800872451,0.00652096474381726,-2.87969354611976,0.00402122962219465,-0.0189962390846742,0.00652117239248057,-2.91300979967627,0.00361771605210624,-0.0187420038426673,0.00652946166537308,-2.87037504823094,0.0041411889689121,-0.0189686976990883,0.00652756829528869,-2.90593630598689,0.00370017001879709
